Isolate_Id,reason
EPI_ISL_206890,too short
EPI_ISL_206891,too short
EPI_ISL_206893,too short
EPI_ISL_208279,too short
EPI_ISL_207353,too short
EPI_ISL_207354,too short
EPI_ISL_208315,too short
EPI_ISL_207357,too short
EPI_ISL_207358,too short
EPI_ISL_207363,too short
EPI_ISL_209004,too short
EPI_ISL_209102,too short
EPI_ISL_209103,too short
EPI_ISL_209104,too short
EPI_ISL_209105,too short
EPI_ISL_209106,too short
EPI_ISL_209107,too short
EPI_ISL_209108,too short
EPI_ISL_209109,too short
EPI_ISL_209110,too short
EPI_ISL_212167,too short
EPI_ISL_212179,too short
EPI_ISL_212180,too short
EPI_ISL_212181,too short
EPI_ISL_212182,too short
EPI_ISL_212186,too short
EPI_ISL_212283,too short
EPI_ISL_212284,too short
EPI_ISL_212285,too short
EPI_ISL_212286,too short
EPI_ISL_212287,too short
EPI_ISL_212288,too short
EPI_ISL_208334,too short
EPI_ISL_208335,too short
EPI_ISL_212519,too short
EPI_ISL_212520,too short
EPI_ISL_212521,too short
EPI_ISL_212522,too short
EPI_ISL_212523,too short
EPI_ISL_213403,too short
EPI_ISL_213418,too short
EPI_ISL_213419,too short
EPI_ISL_213427,too short
EPI_ISL_213732,too short
EPI_ISL_213772,too short
EPI_ISL_213773,too short
EPI_ISL_213774,too short
EPI_ISL_213775,too short
EPI_ISL_213776,too short
EPI_ISL_213777,too short
EPI_ISL_213778,too short
EPI_ISL_213779,too short
EPI_ISL_213780,too short
EPI_ISL_213781,too short
EPI_ISL_214880,too short
EPI_ISL_214881,too short
EPI_ISL_214882,too short
EPI_ISL_214883,too short
EPI_ISL_214884,too short
EPI_ISL_214885,too short
EPI_ISL_214886,too short
EPI_ISL_214887,too short
EPI_ISL_215409,too short
EPI_ISL_216544,too short
EPI_ISL_216545,too short
EPI_ISL_216546,too short
EPI_ISL_216547,too short
EPI_ISL_216548,too short
EPI_ISL_216549,too short
EPI_ISL_216550,too short
EPI_ISL_216551,too short
EPI_ISL_216552,too short
EPI_ISL_216553,too short
EPI_ISL_216554,too short
EPI_ISL_216579,too short
EPI_ISL_216580,too short
EPI_ISL_216581,too short
EPI_ISL_216582,too short
EPI_ISL_217948,too short
EPI_ISL_217949,too short
EPI_ISL_217950,too short
EPI_ISL_217951,too short
EPI_ISL_217952,too short
EPI_ISL_217953,too short
EPI_ISL_218908,too short
EPI_ISL_218920,too short
EPI_ISL_218921,too short
EPI_ISL_218922,too short
EPI_ISL_218923,too short
EPI_ISL_221300,too short
EPI_ISL_221325,too short
EPI_ISL_221449,too short
EPI_ISL_221459,too short
EPI_ISL_221461,too short
EPI_ISL_221466,too short
EPI_ISL_221580,too short
EPI_ISL_221478,too short
EPI_ISL_221483,too short
EPI_ISL_221484,too short
EPI_ISL_221582,too short
EPI_ISL_221489,too short
EPI_ISL_221491,too short
EPI_ISL_221583,too short
EPI_ISL_221926,too short
EPI_ISL_224207,too short
EPI_ISL_223926,too short
EPI_ISL_231558,too short
EPI_ISL_231622,too short
EPI_ISL_231623,too short
EPI_ISL_231644,too short
EPI_ISL_231646,too short
EPI_ISL_231647,too short
EPI_ISL_231654,too short
EPI_ISL_231656,too short
EPI_ISL_231657,too short
EPI_ISL_231658,too short
EPI_ISL_231659,too short
EPI_ISL_231660,too short
EPI_ISL_231661,too short
EPI_ISL_231662,too short
EPI_ISL_231663,too short
EPI_ISL_231664,too short
EPI_ISL_231666,too short
EPI_ISL_231667,too short
EPI_ISL_231668,too short
EPI_ISL_231669,too short
EPI_ISL_231670,too short
EPI_ISL_231671,too short
EPI_ISL_231749,too short
EPI_ISL_231750,too short
EPI_ISL_231753,too short
EPI_ISL_231754,too short
EPI_ISL_231755,too short
EPI_ISL_231757,too short
EPI_ISL_231760,too short
EPI_ISL_231762,too short
EPI_ISL_231771,too short
EPI_ISL_231772,too short
EPI_ISL_231773,too short
EPI_ISL_231780,too short
EPI_ISL_231781,too short
EPI_ISL_231782,too short
EPI_ISL_231783,too short
EPI_ISL_231784,too short
EPI_ISL_231787,too short
EPI_ISL_231789,too short
EPI_ISL_231790,too short
EPI_ISL_231793,too short
EPI_ISL_232049,too short
EPI_ISL_232050,too short
EPI_ISL_232052,too short
EPI_ISL_232051,too short
EPI_ISL_232110,too short
EPI_ISL_232380,too short
EPI_ISL_232397,too short
EPI_ISL_232430,too short
EPI_ISL_232461,too short
EPI_ISL_232469,too short
EPI_ISL_233406,too short
EPI_ISL_233419,too short
EPI_ISL_237941,too short
EPI_ISL_237942,too short
EPI_ISL_237943,too short
EPI_ISL_237959,too short
EPI_ISL_237960,too short
EPI_ISL_237961,too short
EPI_ISL_231632,too short
EPI_ISL_231635,too short
EPI_ISL_231636,too short
EPI_ISL_238116,too short
EPI_ISL_239338,too short
EPI_ISL_239339,too short
EPI_ISL_246480,too short
EPI_ISL_259336,too short
EPI_ISL_259337,too short
EPI_ISL_259338,too short
EPI_ISL_259340,too short
EPI_ISL_259341,too short
EPI_ISL_259342,too short
EPI_ISL_259343,too short
EPI_ISL_259344,too short
EPI_ISL_259345,too short
EPI_ISL_259346,too short
EPI_ISL_263553,too short
EPI_ISL_263560,too short
EPI_ISL_263561,too short
EPI_ISL_263562,too short
EPI_ISL_263563,too short
EPI_ISL_263564,too short
EPI_ISL_263565,too short
EPI_ISL_263566,too short
EPI_ISL_263567,too short
EPI_ISL_263568,too short
EPI_ISL_263569,too short
EPI_ISL_263570,too short
EPI_ISL_282528,too short
EPI_ISL_290989,too short
EPI_ISL_291400,too short
