Isolate_Id,reason
EPI_ISL_13046449,visual outlier
EPI_ISL_277242,visual outlier
EPI_ISL_884294,visual outlier
EPI_ISL_232045,visual outlier
EPI_ISL_234478,visual outlier
EPI_ISL_234474,visual outlier
EPI_ISL_294281,visual outlier
EPI_ISL_8882135,visual outlier
EPI_ISL_15724026,visual outlier
EPI_ISL_241846,visual outlier
EPI_ISL_8882155,visual outlier
EPI_ISL_277236,visual outlier
EPI_ISL_234469,visual outlier
EPI_ISL_234479,visual outlier
EPI_ISL_501166,visual outlier
EPI_ISL_277239,visual outlier
EPI_ISL_294274,visual outlier
EPI_ISL_192075,visual outlier
EPI_ISL_234477,visual outlier
EPI_ISL_1307177,visual outlier
EPI_ISL_338326,visual outlier
EPI_ISL_277241,visual outlier
EPI_ISL_294289,visual outlier
EPI_ISL_205586,visual outlier
EPI_ISL_294275,visual outlier
EPI_ISL_294279,visual outlier
EPI_ISL_304787,visual outlier
EPI_ISL_294273,visual outlier
EPI_ISL_234476,visual outlier
EPI_ISL_277238,visual outlier
EPI_ISL_277240,visual outlier
EPI_ISL_277237,visual outlier
EPI_ISL_234480,visual outlier
EPI_ISL_329971,visual outlier
EPI_ISL_232044,visual outlier
EPI_ISL_294296,visual outlier
EPI_ISL_294277,visual outlier
EPI_ISL_277235,visual outlier
EPI_ISL_232048,visual outlier
EPI_ISL_294288,visual outlier
EPI_ISL_285998,visual outlier
EPI_ISL_294271,visual outlier
EPI_ISL_294291,visual outlier
EPI_ISL_234475,visual outlier
EPI_ISL_294286,visual outlier
EPI_ISL_294294,visual outlier
EPI_ISL_8882121,visual outlier
EPI_ISL_177688,visual outlier
EPI_ISL_1913253,visual outlier
EPI_ISL_294284,visual outlier
EPI_ISL_232047,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_294283,visual outlier
EPI_ISL_294282,visual outlier
EPI_ISL_232046,visual outlier
EPI_ISL_234470,visual outlier
EPI_ISL_277234,visual outlier
EPI_ISL_294276,visual outlier
EPI_ISL_294280,visual outlier
EPI_ISL_294287,visual outlier
EPI_ISL_234473,visual outlier
EPI_ISL_294272,visual outlier
EPI_ISL_15490784,visual outlier
EPI_ISL_341299,visual outlier
EPI_ISL_234481,visual outlier
EPI_ISL_294285,visual outlier
EPI_ISL_233371,molecular clock outlier
EPI_ISL_393707,molecular clock outlier
EPI_ISL_394052,molecular clock outlier
EPI_ISL_394110,molecular clock outlier
EPI_ISL_192967,molecular clock outlier
EPI_ISL_255504,molecular clock outlier
EPI_ISL_13046456,molecular clock outlier
EPI_ISL_275898,molecular clock outlier
EPI_ISL_298374,molecular clock outlier
EPI_ISL_299902,molecular clock outlier
EPI_ISL_295848,molecular clock outlier
EPI_ISL_277493,molecular clock outlier
EPI_ISL_305285,molecular clock outlier
EPI_ISL_295850,molecular clock outlier
EPI_ISL_295849,molecular clock outlier
EPI_ISL_277500,molecular clock outlier
EPI_ISL_272900,molecular clock outlier
EPI_ISL_266281,molecular clock outlier
EPI_ISL_277501,molecular clock outlier
EPI_ISL_292546,molecular clock outlier
EPI_ISL_300753,molecular clock outlier
EPI_ISL_281550,molecular clock outlier
EPI_ISL_296077,molecular clock outlier
EPI_ISL_292545,molecular clock outlier
EPI_ISL_337243,molecular clock outlier
EPI_ISL_366477,molecular clock outlier
EPI_ISL_255976,molecular clock outlier
EPI_ISL_255502,molecular clock outlier
EPI_ISL_266288,molecular clock outlier
EPI_ISL_312829,molecular clock outlier
EPI_ISL_270169,molecular clock outlier
EPI_ISL_359278,molecular clock outlier
EPI_ISL_165317,visual outlier
EPI_ISL_166393,visual outlier
EPI_ISL_149440,visual outlier
EPI_ISL_144698,visual outlier
EPI_ISL_144201,visual outlier
EPI_ISL_144199,visual outlier
EPI_ISL_144200,visual outlier
EPI_ISL_144203,visual outlier
EPI_ISL_144893,visual outlier
EPI_ISL_143975,visual outlier
EPI_ISL_145067,visual outlier
EPI_ISL_143655,visual outlier
EPI_ISL_143660,visual outlier
EPI_ISL_144202,visual outlier
EPI_ISL_143974,visual outlier
EPI_ISL_143661,visual outlier
EPI_ISL_143973,visual outlier
EPI_ISL_145068,visual outlier
EPI_ISL_145632,visual outlier
EPI_ISL_83273,swine origin
EPI_ISL_88934,swine origin
EPI_ISL_83276,swine origin
EPI_ISL_83701,swine origin
EPI_ISL_129798,swine origin
EPI_ISL_128156,swine origin
EPI_ISL_129797,swine origin
EPI_ISL_128157,swine origin
EPI_ISL_128159,swine origin
EPI_ISL_122344,swine origin
EPI_ISL_123210,swine origin
EPI_ISL_128229,swine origin
EPI_ISL_123207,swine origin
EPI_ISL_126245,swine origin
EPI_ISL_123211,swine origin
EPI_ISL_128405,swine origin
EPI_ISL_129799,swine origin
EPI_ISL_126244,swine origin
EPI_ISL_123206,swine origin
EPI_ISL_126243,swine origin
EPI_ISL_129756,swine origin
EPI_ISL_128228,swine origin
EPI_ISL_128158,swine origin
EPI_ISL_99215,swine origin
EPI_ISL_99213,swine origin
EPI_ISL_99214,swine origin
EPI_ISL_96013,swine origin
EPI_ISL_96015,swine origin
EPI_ISL_96012,swine origin
EPI_ISL_97361,swine origin
EPI_ISL_99809,swine origin
EPI_ISL_114711,swine origin
EPI_ISL_70476,swine origin
EPI_ISL_98958,molecular clock outlier
EPI_ISL_300754,molecular clock outlier
EPI_ISL_98954,molecular clock outlier
EPI_ISL_333434,molecular clock outlier
EPI_ISL_277494,molecular clock outlier
EPI_ISL_98962,molecular clock outlier
EPI_ISL_289731,molecular clock outlier
EPI_ISL_60144,molecular clock outlier
EPI_ISL_274459,molecular clock outlier
EPI_ISL_77775,molecular clock outlier
EPI_ISL_118767,molecular clock outlier
EPI_ISL_393692,molecular clock outlier
EPI_ISL_300751,molecular clock outlier
EPI_ISL_14218862,molecular clock outlier
EPI_ISL_281551,molecular clock outlier
EPI_ISL_60146,molecular clock outlier
EPI_ISL_77756,molecular clock outlier
EPI_ISL_282140,molecular clock outlier
EPI_ISL_177070,molecular clock outlier
EPI_ISL_169229,molecular clock outlier
EPI_ISL_266282,molecular clock outlier
EPI_ISL_393699,molecular clock outlier
EPI_ISL_5632520,molecular clock outlier
EPI_ISL_197945,molecular clock outlier
EPI_ISL_153171,molecular clock outlier
EPI_ISL_398269,molecular clock outlier
EPI_ISL_159618,molecular clock outlier
EPI_ISL_278393,molecular clock outlier
