Isolate_Id,reason
EPI_ISL_186600,visual outlier
EPI_ISL_387423,visual outlier
EPI_ISL_329971,visual outlier
EPI_ISL_215258,visual outlier
EPI_ISL_222049,visual outlier
EPI_ISL_225067,visual outlier
EPI_ISL_286636,visual outlier
EPI_ISL_287003,visual outlier
EPI_ISL_394110,visual outlier
EPI_ISL_234469,visual outlier
EPI_ISL_220337,visual outlier
EPI_ISL_222050,visual outlier
EPI_ISL_224066,visual outlier
EPI_ISL_287014,visual outlier
EPI_ISL_177688,visual outlier
EPI_ISL_186603,visual outlier
EPI_ISL_277238,visual outlier
EPI_ISL_186592,visual outlier
EPI_ISL_186607,visual outlier
EPI_ISL_286942,visual outlier
EPI_ISL_220358,visual outlier
EPI_ISL_225076,visual outlier
EPI_ISL_225101,visual outlier
EPI_ISL_219246,visual outlier
EPI_ISL_213973,visual outlier
EPI_ISL_220345,visual outlier
EPI_ISL_242756,visual outlier
EPI_ISL_286400,visual outlier
EPI_ISL_174007,visual outlier
EPI_ISL_200698,visual outlier
EPI_ISL_286949,visual outlier
EPI_ISL_255578,visual outlier
EPI_ISL_206244,visual outlier
EPI_ISL_232044,visual outlier
EPI_ISL_234473,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_370633,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_294280,visual outlier
EPI_ISL_277237,visual outlier
EPI_ISL_294284,visual outlier
EPI_ISL_294287,visual outlier
EPI_ISL_14493158,visual outlier
EPI_ISL_501166,visual outlier
EPI_ISL_174023,visual outlier
EPI_ISL_200678,visual outlier
EPI_ISL_277241,visual outlier
EPI_ISL_294274,visual outlier
EPI_ISL_205586,visual outlier
EPI_ISL_186583,visual outlier
EPI_ISL_186607,visual outlier
EPI_ISL_241846,visual outlier
EPI_ISL_294281,visual outlier
EPI_ISL_294286,visual outlier
EPI_ISL_177071,visual outlier
EPI_ISL_186575,visual outlier
EPI_ISL_192245,visual outlier
EPI_ISL_188845,visual outlier
EPI_ISL_171545,visual outlier
EPI_ISL_232045,visual outlier
EPI_ISL_277234,visual outlier
EPI_ISL_294289,visual outlier
EPI_ISL_15480784,visual outlier
EPI_ISL_174026,visual outlier
EPI_ISL_194947,visual outlier
EPI_ISL_201233,visual outlier
EPI_ISL_287004,visual outlier
EPI_ISL_200716,visual outlier
EPI_ISL_220293,visual outlier
EPI_ISL_224001,visual outlier
EPI_ISL_225053,visual outlier
EPI_ISL_15082351,visual outlier
