Isolate_Id,reason
EPI_ISL_341299,visual outlier
EPI_ISL_366477,molecular clock outlier
EPI_ISL_205586,visual outlier
EPI_ISL_241846,visual outlier
EPI_ISL_4001774,visual outlier
EPI_ISL_294285,visual outlier
EPI_ISL_294279,visual outlier
EPI_ISL_884294,visual outlier
EPI_ISL_234481,visual outlier
EPI_ISL_294294,visual outlier
EPI_ISL_277238,visual outlier
EPI_ISL_294273,visual outlier
EPI_ISL_277235,visual outlier
EPI_ISL_232045,visual outlier
EPI_ISL_277237,visual outlier
EPI_ISL_294274,visual outlier
EPI_ISL_4001776,visual outlier
EPI_ISL_234469,visual outlier
EPI_ISL_15724025,visual outlier
EPI_ISL_234476,visual outlier
EPI_ISL_294296,visual outlier
EPI_ISL_277236,visual outlier
EPI_ISL_294284,visual outlier
EPI_ISL_195546,visual outlier
EPI_ISL_203638,visual outlier
EPI_ISL_294283,visual outlier
EPI_ISL_294287,visual outlier
EPI_ISL_294288,visual outlier
EPI_ISL_273329,visual outlier
EPI_ISL_277239,visual outlier
EPI_ISL_501166,visual outlier
EPI_ISL_234479,visual outlier
EPI_ISL_232047,visual outlier
EPI_ISL_1307177,visual outlier
EPI_ISL_241847,visual outlier
EPI_ISL_192075,visual outlier
EPI_ISL_294281,visual outlier
EPI_ISL_232048,visual outlier
EPI_ISL_234480,visual outlier
EPI_ISL_309332,visual outlier
EPI_ISL_294282,visual outlier
EPI_ISL_195547,visual outlier
EPI_ISL_234472,visual outlier
EPI_ISL_294291,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_234475,visual outlier
EPI_ISL_277242,visual outlier
EPI_ISL_232044,visual outlier
EPI_ISL_232046,visual outlier
EPI_ISL_294280,visual outlier
EPI_ISL_294772,visual outlier
EPI_ISL_294289,visual outlier
EPI_ISL_234477,visual outlier
EPI_ISL_234470,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_234473,visual outlier
EPI_ISL_294275,visual outlier
EPI_ISL_329971,visual outlier
EPI_ISL_234474,visual outlier
EPI_ISL_294271,visual outlier
EPI_ISL_277241,visual outlier
EPI_ISL_294286,visual outlier
EPI_ISL_15490784,visual outlier
EPI_ISL_311874,visual outlier
EPI_ISL_277234,visual outlier
EPI_ISL_294276,visual outlier
EPI_ISL_294277,visual outlier
EPI_ISL_277240,visual outlier
EPI_ISL_234478,visual outlier
EPI_ISL_201101,molecular clock outlier
EPI_ISL_201103,molecular clock outlier
EPI_ISL_351738,molecular clock outlier
EPI_ISL_363880,molecular clock outlier
EPI_ISL_363884,molecular clock outlier
EPI_ISL_321259,molecular clock outlier
EPI_ISL_361585,molecular clock outlier
EPI_ISL_266288,molecular clock outlier
EPI_ISL_299975,molecular clock outlier
EPI_ISL_303249,molecular clock outlier
EPI_ISL_303264,molecular clock outlier
EPI_ISL_359278,molecular clock outlier
EPI_ISL_305041,molecular clock outlier
EPI_ISL_321912,molecular clock outlier
EPI_ISL_376719,molecular clock outlier
EPI_ISL_270169,molecular clock outlier
EPI_ISL_310242,molecular clock outlier
EPI_ISL_304944,molecular clock outlier
EPI_ISL_312829,molecular clock outlier
EPI_ISL_322099,molecular clock outlier
EPI_ISL_353449,molecular clock outlier
EPI_ISL_320349,molecular clock outlier
EPI_ISL_363978,molecular clock outlier
EPI_ISL_357915,molecular clock outlier
EPI_ISL_362389,molecular clock outlier
EPI_ISL_363874,molecular clock outlier
EPI_ISL_347943,molecular clock outlier
EPI_ISL_393579,molecular clock outlier
EPI_ISL_397182,molecular clock outlier
EPI_ISL_363888,molecular clock outlier
EPI_ISL_348160,molecular clock outlier
EPI_ISL_347951,molecular clock outlier
EPI_ISL_351879,molecular clock outlier
EPI_ISL_346056,molecular clock outlier
EPI_ISL_346057,molecular clock outlier
EPI_ISL_362395,molecular clock outlier
EPI_ISL_391588,molecular clock outlier
EPI_ISL_346055,molecular clock outlier
EPI_ISL_364010,molecular clock outlier
EPI_ISL_391672,molecular clock outlier
EPI_ISL_363855,molecular clock outlier
EPI_ISL_362396,molecular clock outlier
EPI_ISL_362170,molecular clock outlier
EPI_ISL_393574,molecular clock outlier
EPI_ISL_335648,molecular clock outlier
EPI_ISL_356223,molecular clock outlier
EPI_ISL_346220,molecular clock outlier
EPI_ISL_398314,molecular clock outlier
EPI_ISL_347952,molecular clock outlier
EPI_ISL_340493,molecular clock outlier
EPI_ISL_346446,molecular clock outlier
EPI_ISL_393575,molecular clock outlier
EPI_ISL_340482,molecular clock outlier
EPI_ISL_320281,molecular clock outlier
EPI_ISL_398532,molecular clock outlier
EPI_ISL_347950,molecular clock outlier
EPI_ISL_350579,molecular clock outlier
EPI_ISL_364005,molecular clock outlier
EPI_ISL_352057,molecular clock outlier
EPI_ISL_393577,molecular clock outlier
EPI_ISL_355540,molecular clock outlier
EPI_ISL_391666,molecular clock outlier
EPI_ISL_348146,molecular clock outlier
EPI_ISL_363867,molecular clock outlier
EPI_ISL_393581,molecular clock outlier
EPI_ISL_363881,molecular clock outlier
EPI_ISL_350567,molecular clock outlier
EPI_ISL_338279,molecular clock outlier
EPI_ISL_348156,molecular clock outlier
EPI_ISL_340489,molecular clock outlier
EPI_ISL_356224,molecular clock outlier
EPI_ISL_363907,molecular clock outlier
EPI_ISL_363870,molecular clock outlier
EPI_ISL_350576,molecular clock outlier
EPI_ISL_346399,molecular clock outlier
EPI_ISL_363869,molecular clock outlier
EPI_ISL_362391,molecular clock outlier
EPI_ISL_362394,molecular clock outlier
EPI_ISL_363866,molecular clock outlier
EPI_ISL_393582,molecular clock outlier
EPI_ISL_319709,molecular clock outlier
EPI_ISL_347944,molecular clock outlier
EPI_ISL_347947,molecular clock outlier
EPI_ISL_346431,molecular clock outlier
EPI_ISL_356225,molecular clock outlier
EPI_ISL_347948,molecular clock outlier
EPI_ISL_348142,molecular clock outlier
EPI_ISL_340487,molecular clock outlier
EPI_ISL_277493,molecular clock outlier
EPI_ISL_295848,molecular clock outlier
EPI_ISL_373430,molecular clock outlier
EPI_ISL_295850,molecular clock outlier
EPI_ISL_322945,molecular clock outlier
EPI_ISL_295849,molecular clock outlier
EPI_ISL_315793,molecular clock outlier
EPI_ISL_303429,molecular clock outlier
EPI_ISL_277500,molecular clock outlier
EPI_ISL_347945,molecular clock outlier
EPI_ISL_347949,molecular clock outlier
EPI_ISL_345801,molecular clock outlier
EPI_ISL_360542,molecular clock outlier
EPI_ISL_327400,molecular clock outlier
EPI_ISL_275898,molecular clock outlier
EPI_ISL_277501,molecular clock outlier
EPI_ISL_381316,molecular clock outlier
EPI_ISL_14218862,molecular clock outlier
EPI_ISL_312814,molecular clock outlier
EPI_ISL_358271,molecular clock outlier
EPI_ISL_144256,molecular clock outlier
EPI_ISL_312814,molecular clock outlier
EPI_ISL_358271,molecular clock outlier
EPI_ISL_358248,molecular clock outlier
EPI_ISL_283621,molecular clock outlier
EPI_ISL_307896,molecular clock outlier
EPI_ISL_335315,molecular clock outlier
EPI_ISL_296077,molecular clock outlier
EPI_ISL_393706,molecular clock outlier
EPI_ISL_393698,molecular clock outlier
EPI_ISL_299903,molecular clock outlier
EPI_ISL_376790,molecular clock outlier
EPI_ISL_292546,molecular clock outlier
EPI_ISL_312860,molecular clock outlier
EPI_ISL_301488,molecular clock outlier
EPI_ISL_298374,molecular clock outlier
EPI_ISL_188843,molecular clock outlier
EPI_ISL_292545,molecular clock outlier
EPI_ISL_303219,molecular clock outlier
EPI_ISL_358463,molecular clock outlier
EPI_ISL_376562,molecular clock outlier
EPI_ISL_192237,molecular clock outlier
EPI_ISL_273299,visual outlier
EPI_ISL_309540,visual outlier
EPI_ISL_376826,visual outlier
EPI_ISL_322191,visual outlier
EPI_ISL_322230,visual outlier
EPI_ISL_314561,visual outlier
EPI_ISL_288264,visual outlier
EPI_ISL_292524,visual outlier
EPI_ISL_274445,visual outlier
EPI_ISL_275304,visual outlier
EPI_ISL_306024,visual outlier
EPI_ISL_268387,visual outlier
EPI_ISL_238032,visual outlier
EPI_ISL_129797,molecular clock outlier
EPI_ISL_126245,molecular clock outlier
EPI_ISL_128405,molecular clock outlier
EPI_ISL_149440,molecular clock outlier
EPI_ISL_129756,molecular clock outlier
EPI_ISL_164036,molecular clock outlier
EPI_ISL_129759,molecular clock outlier
EPI_ISL_122344,molecular clock outlier
EPI_ISL_160900,molecular clock outlier
EPI_ISL_151796,molecular clock outlier
EPI_ISL_335214,molecular clock outlier
EPI_ISL_129753,molecular clock outlier
EPI_ISL_160958,molecular clock outlier
EPI_ISL_144893,molecular clock outlier
EPI_ISL_145068,molecular clock outlier
EPI_ISL_126244,molecular clock outlier
EPI_ISL_143655,molecular clock outlier
EPI_ISL_393694,molecular clock outlier
EPI_ISL_144698,molecular clock outlier
EPI_ISL_90520,molecular clock outlier
EPI_ISL_144204,molecular clock outlier
EPI_ISL_91023,molecular clock outlier
EPI_ISL_145632,molecular clock outlier
EPI_ISL_169215,molecular clock outlier
EPI_ISL_144203,molecular clock outlier
EPI_ISL_143974,molecular clock outlier
EPI_ISL_144201,molecular clock outlier
EPI_ISL_14284869,molecular clock outlier
EPI_ISL_144200,molecular clock outlier
EPI_ISL_143975,molecular clock outlier
EPI_ISL_144202,molecular clock outlier
EPI_ISL_145067,molecular clock outlier
EPI_ISL_268783,molecular clock outlier
EPI_ISL_143973,molecular clock outlier
EPI_ISL_144199,molecular clock outlier
EPI_ISL_143661,molecular clock outlier
EPI_ISL_90489,molecular clock outlier
EPI_ISL_160955,molecular clock outlier
EPI_ISL_7756,molecular clock outlier
EPI_ISL_91065,molecular clock outlier
EPI_ISL_7634,molecular clock outlier
EPI_ISL_90507,molecular clock outlier
EPI_ISL_91107,molecular clock outlier
EPI_ISL_90502,molecular clock outlier
EPI_ISL_90539,molecular clock outlier
EPI_ISL_90474,molecular clock outlier
EPI_ISL_15146265,molecular clock outlier
EPI_ISL_167848,molecular clock outlier
EPI_ISL_154207,molecular clock outlier
EPI_ISL_15146266,molecular clock outlier
EPI_ISL_146100,molecular clock outlier
EPI_ISL_335302,molecular clock outlier
EPI_ISL_159696,molecular clock outlier
EPI_ISL_390853,molecular clock outlier
EPI_ISL_146145,molecular clock outlier
EPI_ISL_90475,molecular clock outlier
EPI_ISL_154206,molecular clock outlier
EPI_ISL_167850,molecular clock outlier
EPI_ISL_131852,molecular clock outlier
EPI_ISL_393693,molecular clock outlier
EPI_ISL_394051,molecular clock outlier
EPI_ISL_247095,molecular clock outlier
EPI_ISL_247288,molecular clock outlier
EPI_ISL_29479,molecular clock outlier
EPI_ISL_16749358,molecular clock outlier
EPI_ISL_2402568,molecular clock outlier
EPI_ISL_5164,molecular clock outlier
EPI_ISL_9070,molecular clock outlier
EPI_ISL_2402555,molecular clock outlier
EPI_ISL_2402570,molecular clock outlier
EPI_ISL_6196,molecular clock outlier
EPI_ISL_302517,molecular clock outlier
EPI_ISL_5145,molecular clock outlier
EPI_ISL_5144,molecular clock outlier
EPI_ISL_132414,molecular clock outlier
EPI_ISL_5148,molecular clock outlier
EPI_ISL_5146,molecular clock outlier
