Isolate_Id,reason
EPI_ISL_294282,visual outlier
EPI_ISL_376741,visual outlier
EPI_ISL_232044,visual outlier
EPI_ISL_376564,visual outlier
EPI_ISL_372055,visual outlier
EPI_ISL_387226,visual outlier
EPI_ISL_366135,visual outlier
EPI_ISL_387194,visual outlier
EPI_ISL_234476,visual outlier
EPI_ISL_376634,visual outlier
EPI_ISL_366930,visual outlier
EPI_ISL_369767,visual outlier
EPI_ISL_372046,visual outlier
EPI_ISL_234470,visual outlier
EPI_ISL_277237,visual outlier
EPI_ISL_369940,visual outlier
EPI_ISL_277242,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_376833,visual outlier
EPI_ISL_366565,visual outlier
EPI_ISL_369739,visual outlier
EPI_ISL_277238,visual outlier
EPI_ISL_329971,visual outlier
EPI_ISL_376749,visual outlier
EPI_ISL_369745,visual outlier
EPI_ISL_369988,visual outlier
EPI_ISL_394052,visual outlier
EPI_ISL_232046,visual outlier
EPI_ISL_294280,visual outlier
EPI_ISL_366523,visual outlier
EPI_ISL_370122,visual outlier
EPI_ISL_370504,visual outlier
EPI_ISL_376568,visual outlier
EPI_ISL_366537,visual outlier
EPI_ISL_405435,visual outlier
EPI_ISL_369985,visual outlier
EPI_ISL_370145,visual outlier
EPI_ISL_501166,visual outlier
EPI_ISL_341299,visual outlier
EPI_ISL_369750,visual outlier
EPI_ISL_369764,visual outlier
EPI_ISL_370013,visual outlier
EPI_ISL_373465,visual outlier
EPI_ISL_405417,visual outlier
EPI_ISL_372070,visual outlier
EPI_ISL_192075,visual outlier
EPI_ISL_277234,visual outlier
EPI_ISL_294274,visual outlier
EPI_ISL_294276,visual outlier
EPI_ISL_373485,visual outlier
EPI_ISL_376575,visual outlier
EPI_ISL_366699,visual outlier
EPI_ISL_404293,visual outlier
EPI_ISL_294281,visual outlier
EPI_ISL_366962,visual outlier
EPI_ISL_372056,visual outlier
EPI_ISL_403092,visual outlier
EPI_ISL_369749,visual outlier
EPI_ISL_15610793,visual outlier
EPI_ISL_368967,visual outlier
EPI_ISL_369026,visual outlier
EPI_ISL_294296,visual outlier
EPI_ISL_366549,visual outlier
EPI_ISL_369014,visual outlier
EPI_ISL_369814,visual outlier
EPI_ISL_366576,visual outlier
EPI_ISL_369822,visual outlier
EPI_ISL_294275,visual outlier
EPI_ISL_376651,visual outlier
EPI_ISL_376736,visual outlier
EPI_ISL_366928,visual outlier
EPI_ISL_387214,visual outlier
EPI_ISL_404327,visual outlier
EPI_ISL_370030,visual outlier
EPI_ISL_387270,visual outlier
EPI_ISL_366921,visual outlier
EPI_ISL_372064,visual outlier
EPI_ISL_376738,visual outlier
EPI_ISL_370140,visual outlier
EPI_ISL_372069,visual outlier
EPI_ISL_369815,visual outlier
EPI_ISL_370137,visual outlier
EPI_ISL_232045,visual outlier
EPI_ISL_294291,visual outlier
EPI_ISL_15490784,visual outlier
EPI_ISL_366925,visual outlier
EPI_ISL_372068,visual outlier
EPI_ISL_412475,visual outlier
EPI_ISL_376790,visual outlier
EPI_ISL_372025,visual outlier
EPI_ISL_368896,visual outlier
EPI_ISL_373433,visual outlier
EPI_ISL_372065,visual outlier
EPI_ISL_369804,visual outlier
EPI_ISL_232047,visual outlier
EPI_ISL_376562,visual outlier
EPI_ISL_371971,visual outlier
EPI_ISL_372531,visual outlier
EPI_ISL_241846,visual outlier
EPI_ISL_376635,visual outlier
EPI_ISL_387225,visual outlier
EPI_ISL_404294,visual outlier
EPI_ISL_394110,visual outlier
EPI_ISL_366662,visual outlier
EPI_ISL_369978,visual outlier
EPI_ISL_371972,visual outlier
EPI_ISL_370638,visual outlier
EPI_ISL_294279,visual outlier
EPI_ISL_372534,visual outlier
EPI_ISL_405462,visual outlier
EPI_ISL_294273,visual outlier
EPI_ISL_370131,visual outlier
EPI_ISL_370588,visual outlier
EPI_ISL_372061,visual outlier
EPI_ISL_376804,visual outlier
EPI_ISL_387223,visual outlier
EPI_ISL_12286097,visual outlier
EPI_ISL_13338080,visual outlier
EPI_ISL_376599,visual outlier
EPI_ISL_370587,visual outlier
EPI_ISL_387287,visual outlier
EPI_ISL_387297,visual outlier
EPI_ISL_372037,visual outlier
EPI_ISL_387257,visual outlier
EPI_ISL_1307177,visual outlier
EPI_ISL_294289,visual outlier
EPI_ISL_376579,visual outlier
EPI_ISL_366476,visual outlier
EPI_ISL_370518,visual outlier
EPI_ISL_232048,visual outlier
EPI_ISL_403110,visual outlier
EPI_ISL_369759,visual outlier
EPI_ISL_370525,visual outlier
EPI_ISL_387241,visual outlier
EPI_ISL_234474,visual outlier
EPI_ISL_277235,visual outlier
EPI_ISL_387291,visual outlier
EPI_ISL_294271,visual outlier
EPI_ISL_376771,visual outlier
EPI_ISL_366964,visual outlier
EPI_ISL_366996,visual outlier
EPI_ISL_387480,visual outlier
EPI_ISL_277239,visual outlier
EPI_ISL_294283,visual outlier
EPI_ISL_366603,visual outlier
EPI_ISL_370177,visual outlier
EPI_ISL_370182,visual outlier
EPI_ISL_205586,visual outlier
EPI_ISL_294272,visual outlier
EPI_ISL_294285,visual outlier
EPI_ISL_373430,visual outlier
EPI_ISL_376586,visual outlier
EPI_ISL_376772,visual outlier
EPI_ISL_373429,visual outlier
EPI_ISL_368972,visual outlier
EPI_ISL_366520,visual outlier
EPI_ISL_387242,visual outlier
EPI_ISL_376633,visual outlier
EPI_ISL_376709,visual outlier
EPI_ISL_369012,visual outlier
EPI_ISL_369799,visual outlier
EPI_ISL_372038,visual outlier
EPI_ISL_387277,visual outlier
EPI_ISL_370000,visual outlier
EPI_ISL_234473,visual outlier
EPI_ISL_277241,visual outlier
EPI_ISL_294277,visual outlier
EPI_ISL_294286,visual outlier
EPI_ISL_294284,visual outlier
EPI_ISL_369736,visual outlier
EPI_ISL_234481,visual outlier
EPI_ISL_277240,visual outlier
EPI_ISL_373410,visual outlier
EPI_ISL_366477,visual outlier
EPI_ISL_373408,visual outlier
EPI_ISL_370029,visual outlier
EPI_ISL_370633,visual outlier
EPI_ISL_405459,visual outlier
EPI_ISL_366452,visual outlier
EPI_ISL_366960,visual outlier
EPI_ISL_387300,visual outlier
EPI_ISL_368878,visual outlier
EPI_ISL_376766,visual outlier
EPI_ISL_376827,visual outlier
EPI_ISL_369754,visual outlier
EPI_ISL_376798,visual outlier
EPI_ISL_234477,visual outlier
EPI_ISL_370162,visual outlier
EPI_ISL_370639,visual outlier
EPI_ISL_387232,visual outlier
EPI_ISL_376587,visual outlier
EPI_ISL_387266,visual outlier
EPI_ISL_412522,visual outlier
EPI_ISL_366995,visual outlier
EPI_ISL_369022,visual outlier
EPI_ISL_369791,visual outlier
EPI_ISL_387285,visual outlier
EPI_ISL_387516,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_294288,visual outlier
EPI_ISL_373492,visual outlier
EPI_ISL_370012,visual outlier
EPI_ISL_370583,visual outlier
EPI_ISL_366464,visual outlier
EPI_ISL_370015,visual outlier
EPI_ISL_370604,visual outlier
EPI_ISL_370617,visual outlier
EPI_ISL_376716,visual outlier
EPI_ISL_369042,visual outlier
EPI_ISL_304787,visual outlier
EPI_ISL_376577,visual outlier
EPI_ISL_370596,visual outlier
EPI_ISL_329972,visual outlier
EPI_ISL_366482,visual outlier
EPI_ISL_404311,visual outlier
EPI_ISL_366596,visual outlier
EPI_ISL_13026466,visual outlier
EPI_ISL_373414,visual outlier
EPI_ISL_376728,visual outlier
EPI_ISL_366721,visual outlier
EPI_ISL_370027,visual outlier
EPI_ISL_370626,visual outlier
EPI_ISL_234469,visual outlier
EPI_ISL_277236,visual outlier
EPI_ISL_294287,visual outlier
EPI_ISL_366539,visual outlier
EPI_ISL_366610,visual outlier
EPI_ISL_366952,visual outlier
EPI_ISL_403104,visual outlier
EPI_ISL_370008,visual outlier
EPI_ISL_372051,visual outlier
EPI_ISL_373423,visual outlier
EPI_ISL_387264,visual outlier
EPI_ISL_373444,visual outlier
EPI_ISL_376745,visual outlier
EPI_ISL_387269,visual outlier
EPI_ISL_370002,visual outlier
EPI_ISL_370014,visual outlier
EPI_ISL_404317,visual outlier
EPI_ISL_376824,visual outlier
EPI_ISL_884294,visual outlier
EPI_ISL_373480,visual outlier
EPI_ISL_387245,visual outlier
EPI_ISL_376576,visual outlier
EPI_ISL_387234,visual outlier
EPI_ISL_387273,visual outlier
EPI_ISL_376657,visual outlier
EPI_ISL_376840,visual outlier
EPI_ISL_366602,visual outlier
EPI_ISL_366522,visual outlier
EPI_ISL_403215,visual outlier
EPI_ISL_234479,visual outlier
EPI_ISL_234480,visual outlier
EPI_ISL_294294,visual outlier
EPI_ISL_373411,visual outlier
EPI_ISL_376649,visual outlier
EPI_ISL_370586,visual outlier
EPI_ISL_405452,visual outlier
EPI_ISL_387416,visual outlier
EPI_ISL_387390,visual outlier
EPI_ISL_366949,visual outlier
EPI_ISL_369981,visual outlier
EPI_ISL_370159,visual outlier
EPI_ISL_394109,molecular clock outlier
EPI_ISL_235101,molecular clock outlier
EPI_ISL_368871,molecular clock outlier
EPI_ISL_380095,molecular clock outlier
EPI_ISL_268313,molecular clock outlier
EPI_ISL_346965,molecular clock outlier
EPI_ISL_368862,molecular clock outlier
EPI_ISL_387435,molecular clock outlier
EPI_ISL_340485,molecular clock outlier
EPI_ISL_167928,molecular clock outlier
EPI_ISL_288218,molecular clock outlier
EPI_ISL_235672,molecular clock outlier
EPI_ISL_288191,molecular clock outlier
EPI_ISL_14284853,molecular clock outlier
EPI_ISL_239747,molecular clock outlier
EPI_ISL_174180,molecular clock outlier
EPI_ISL_175174,molecular clock outlier
EPI_ISL_168921,molecular clock outlier
EPI_ISL_288183,molecular clock outlier
EPI_ISL_188825,molecular clock outlier
EPI_ISL_393966,molecular clock outlier
EPI_ISL_288201,molecular clock outlier
EPI_ISL_151100,molecular clock outlier
EPI_ISL_288158,molecular clock outlier
