Isolate_Id,reason
EPI_ISL_366543,visual outlier
EPI_ISL_372530,visual outlier
EPI_ISL_387295,visual outlier
EPI_ISL_368875,visual outlier
EPI_ISL_387172,visual outlier
EPI_ISL_232047,visual outlier
EPI_ISL_15714778,visual outlier
EPI_ISL_294271,visual outlier
EPI_ISL_294283,visual outlier
EPI_ISL_368965,visual outlier
EPI_ISL_387194,visual outlier
EPI_ISL_387189,visual outlier
EPI_ISL_387173,visual outlier
EPI_ISL_192075,visual outlier
EPI_ISL_294286,visual outlier
EPI_ISL_294294,visual outlier
EPI_ISL_234473,visual outlier
EPI_ISL_277242,visual outlier
EPI_ISL_294282,visual outlier
EPI_ISL_366565,visual outlier
EPI_ISL_387241,visual outlier
EPI_ISL_294285,visual outlier
EPI_ISL_387236,visual outlier
EPI_ISL_387275,visual outlier
EPI_ISL_376796,visual outlier
EPI_ISL_294277,visual outlier
EPI_ISL_366568,visual outlier
EPI_ISL_294275,visual outlier
EPI_ISL_234477,visual outlier
EPI_ISL_387252,visual outlier
EPI_ISL_387296,visual outlier
EPI_ISL_387220,visual outlier
EPI_ISL_277238,visual outlier
EPI_ISL_294287,visual outlier
EPI_ISL_1307177,visual outlier
EPI_ISL_294272,visual outlier
EPI_ISL_294281,visual outlier
EPI_ISL_372533,visual outlier
EPI_ISL_387251,visual outlier
EPI_ISL_372534,visual outlier
EPI_ISL_387248,visual outlier
EPI_ISL_414060,visual outlier
EPI_ISL_277239,visual outlier
EPI_ISL_366910,visual outlier
EPI_ISL_387237,visual outlier
EPI_ISL_387233,visual outlier
EPI_ISL_387171,visual outlier
EPI_ISL_14493158,visual outlier
EPI_ISL_234481,visual outlier
EPI_ISL_15490784,visual outlier
EPI_ISL_366562,visual outlier
EPI_ISL_232046,visual outlier
EPI_ISL_387244,visual outlier
EPI_ISL_387276,visual outlier
EPI_ISL_366556,visual outlier
EPI_ISL_368878,visual outlier
EPI_ISL_387218,visual outlier
EPI_ISL_387268,visual outlier
EPI_ISL_241846,visual outlier
EPI_ISL_205586,visual outlier
EPI_ISL_304787,visual outlier
EPI_ISL_294288,visual outlier
EPI_ISL_387287,visual outlier
EPI_ISL_501166,visual outlier
EPI_ISL_366572,visual outlier
EPI_ISL_387423,visual outlier
EPI_ISL_376798,visual outlier
EPI_ISL_387291,visual outlier
EPI_ISL_387256,visual outlier
EPI_ISL_387255,visual outlier
EPI_ISL_387277,visual outlier
EPI_ISL_234479,visual outlier
EPI_ISL_294296,visual outlier
EPI_ISL_368967,visual outlier
EPI_ISL_387294,visual outlier
EPI_ISL_387245,visual outlier
EPI_ISL_232048,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_294279,visual outlier
EPI_ISL_232045,visual outlier
EPI_ISL_277241,visual outlier
EPI_ISL_277236,visual outlier
EPI_ISL_366551,visual outlier
EPI_ISL_387300,visual outlier
EPI_ISL_234480,visual outlier
EPI_ISL_234476,visual outlier
EPI_ISL_277235,visual outlier
EPI_ISL_234469,visual outlier
EPI_ISL_387240,visual outlier
EPI_ISL_372529,visual outlier
EPI_ISL_376586,visual outlier
EPI_ISL_378288,visual outlier
EPI_ISL_277240,visual outlier
EPI_ISL_341299,visual outlier
EPI_ISL_294276,visual outlier
EPI_ISL_378222,visual outlier
EPI_ISL_232044,visual outlier
EPI_ISL_370166,visual outlier
EPI_ISL_387249,visual outlier
EPI_ISL_387253,visual outlier
EPI_ISL_884294,visual outlier
EPI_ISL_277237,visual outlier
EPI_ISL_366456,visual outlier
EPI_ISL_387272,visual outlier
EPI_ISL_387286,visual outlier
EPI_ISL_294291,visual outlier
EPI_ISL_387217,visual outlier
EPI_ISL_387214,visual outlier
EPI_ISL_387271,visual outlier
EPI_ISL_277234,visual outlier
EPI_ISL_294274,visual outlier
EPI_ISL_294280,visual outlier
EPI_ISL_13148850,visual outlier
EPI_ISL_350656,visual outlier
EPI_ISL_370633,visual outlier
EPI_ISL_387238,visual outlier
EPI_ISL_387232,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_294289,visual outlier
EPI_ISL_294284,visual outlier
EPI_ISL_387235,visual outlier
EPI_ISL_387285,visual outlier
EPI_ISL_368896,visual outlier
EPI_ISL_329971,visual outlier
EPI_ISL_294273,visual outlier
EPI_ISL_387234,visual outlier
EPI_ISL_350670,visual outlier
EPI_ISL_269763,molecular clock outlier
EPI_ISL_275898,molecular clock outlier
EPI_ISL_291733,molecular clock outlier
EPI_ISL_336501,molecular clock outlier
EPI_ISL_320727,molecular clock outlier
EPI_ISL_335644,molecular clock outlier
EPI_ISL_336502,molecular clock outlier
EPI_ISL_336504,molecular clock outlier
EPI_ISL_364541,molecular clock outlier
EPI_ISL_336503,molecular clock outlier
EPI_ISL_338561,molecular clock outlier
EPI_ISL_197778,molecular clock outlier
EPI_ISL_286350,molecular clock outlier
EPI_ISL_269765,molecular clock outlier
EPI_ISL_283100,molecular clock outlier
EPI_ISL_15610668,molecular clock outlier
EPI_ISL_283062,molecular clock outlier
EPI_ISL_269766,molecular clock outlier
EPI_ISL_291713,molecular clock outlier
EPI_ISL_283049,molecular clock outlier
EPI_ISL_303256,molecular clock outlier
EPI_ISL_283099,molecular clock outlier
EPI_ISL_283075,molecular clock outlier
EPI_ISL_269758,molecular clock outlier
EPI_ISL_291711,molecular clock outlier
EPI_ISL_362222,molecular clock outlier
EPI_ISL_362217,molecular clock outlier
EPI_ISL_362227,molecular clock outlier
EPI_ISL_362221,molecular clock outlier
EPI_ISL_362226,molecular clock outlier
EPI_ISL_362231,molecular clock outlier
