Isolate_Id,reason
EPI_ISL_31545,too many ambiguous nucleotides
EPI_ISL_32629,too short
EPI_ISL_61405,too many ambiguous nucleotides
EPI_ISL_61406,too many ambiguous nucleotides
EPI_ISL_61408,too many ambiguous nucleotides
EPI_ISL_61441,too short
EPI_ISL_61453,too short
EPI_ISL_61517,too short
EPI_ISL_61520,too short
EPI_ISL_62603,too short
EPI_ISL_66028,too many ambiguous nucleotides
EPI_ISL_129743,too short
EPI_ISL_269775,too many ambiguous nucleotides
EPI_ISL_269911,too short
EPI_ISL_274267,too many ambiguous nucleotides
EPI_ISL_302463,too short
EPI_ISL_305479,too many ambiguous nucleotides
EPI_ISL_305480,too many ambiguous nucleotides
EPI_ISL_309780,too short
EPI_ISL_330359,too short
EPI_ISL_331112,too short
EPI_ISL_331113,too short
EPI_ISL_331245,too short
EPI_ISL_307917,too short
EPI_ISL_307918,too short
EPI_ISL_307949,too short
EPI_ISL_333998,too short
EPI_ISL_334055,too short
EPI_ISL_334067,too short
EPI_ISL_334230,too short
EPI_ISL_334481,too short
EPI_ISL_335593,too short
EPI_ISL_365603,too short
EPI_ISL_365627,too short
EPI_ISL_365628,too short
EPI_ISL_365630,too short
EPI_ISL_400691,too many ambiguous nucleotides
EPI_ISL_400711,too many ambiguous nucleotides
EPI_ISL_171578,too many ambiguous nucleotides
EPI_ISL_15083883,too many ambiguous nucleotides
EPI_ISL_15083889,too many ambiguous nucleotides
EPI_ISL_15083892,too many ambiguous nucleotides
EPI_ISL_15083893,too many ambiguous nucleotides
EPI_ISL_15083894,too many ambiguous nucleotides
EPI_ISL_15083906,too many ambiguous nucleotides
EPI_ISL_15083920,too many ambiguous nucleotides
EPI_ISL_16585485,too many ambiguous nucleotides
EPI_ISL_16585490,too many ambiguous nucleotides
EPI_ISL_16609770,too short
EPI_ISL_16609788,too short
EPI_ISL_336022,too short
EPI_ISL_338934,too short
EPI_ISL_339322,too short
EPI_ISL_346515,too short
EPI_ISL_349672,too short
EPI_ISL_350653,too short
EPI_ISL_350654,too short
EPI_ISL_350655,too short
EPI_ISL_352155,too many ambiguous nucleotides
EPI_ISL_357487,too short
EPI_ISL_357488,too short
EPI_ISL_357489,too short
EPI_ISL_357490,too short
EPI_ISL_357491,too short
EPI_ISL_357492,too short
EPI_ISL_357496,too short
EPI_ISL_357503,too short
EPI_ISL_357506,too short
EPI_ISL_357508,too short
EPI_ISL_364633,too short
EPI_ISL_365648,too short
EPI_ISL_365664,too short
EPI_ISL_376988,too short
EPI_ISL_376999,too short
EPI_ISL_389568,too short
EPI_ISL_389569,too short
EPI_ISL_389570,too short
EPI_ISL_389571,too short
EPI_ISL_389572,too short
EPI_ISL_389574,too short
EPI_ISL_389575,too short
EPI_ISL_389577,too short
EPI_ISL_389578,too short
EPI_ISL_389579,too short
EPI_ISL_389580,too short
EPI_ISL_389581,too short
EPI_ISL_389582,too short
EPI_ISL_389583,too short
EPI_ISL_389587,too short
EPI_ISL_389588,too short
EPI_ISL_389589,too short
EPI_ISL_389590,too short
EPI_ISL_389591,too short
EPI_ISL_389592,too short
EPI_ISL_389593,too short
EPI_ISL_389594,too short
EPI_ISL_389595,too short
EPI_ISL_389596,too short
EPI_ISL_389597,too short
EPI_ISL_389600,too short
EPI_ISL_389601,too short
EPI_ISL_389602,too short
EPI_ISL_389603,too short
EPI_ISL_389604,too short
EPI_ISL_389605,too short
