Isolate_Id,reason
EPI_ISL_169446,too short
EPI_ISL_169643,too short
EPI_ISL_169644,too short
EPI_ISL_169645,too short
EPI_ISL_169646,too short
EPI_ISL_169647,too short
EPI_ISL_169648,too short
EPI_ISL_169860,too short
EPI_ISL_169861,too short
EPI_ISL_169862,too short
EPI_ISL_169863,too short
EPI_ISL_170101,too short
EPI_ISL_170102,too short
EPI_ISL_170103,too short
EPI_ISL_170183,too short
EPI_ISL_170368,too short
EPI_ISL_170369,too short
EPI_ISL_170370,too short
EPI_ISL_170999,too short
EPI_ISL_171000,too short
EPI_ISL_171002,too short
EPI_ISL_171003,too short
EPI_ISL_171004,too short
EPI_ISL_171869,too short
EPI_ISL_171871,too short
EPI_ISL_171940,too short
EPI_ISL_171941,too short
EPI_ISL_171942,too short
EPI_ISL_171943,too short
EPI_ISL_172235,too short
EPI_ISL_172237,too short
EPI_ISL_172238,too short
EPI_ISL_172278,too short
EPI_ISL_172635,too short
EPI_ISL_172942,too short
EPI_ISL_172943,too short
EPI_ISL_172944,too short
EPI_ISL_172945,too short
EPI_ISL_172946,too short
EPI_ISL_172947,too short
EPI_ISL_172951,too short
EPI_ISL_172952,too short
EPI_ISL_173036,too short
EPI_ISL_173037,too short
EPI_ISL_173038,too short
EPI_ISL_173039,too short
EPI_ISL_173040,too short
EPI_ISL_173041,too short
EPI_ISL_173042,too short
EPI_ISL_173043,too short
EPI_ISL_173044,too short
EPI_ISL_173290,too short
EPI_ISL_173291,too short
EPI_ISL_173292,too short
EPI_ISL_173293,too short
EPI_ISL_173863,too short
EPI_ISL_173864,too short
EPI_ISL_173868,too short
EPI_ISL_174266,too short
EPI_ISL_174267,too short
EPI_ISL_174268,too short
EPI_ISL_174269,too short
EPI_ISL_174271,too short
EPI_ISL_174272,too short
EPI_ISL_175581,too short
EPI_ISL_175582,too short
EPI_ISL_175583,too short
EPI_ISL_175584,too short
EPI_ISL_175587,too short
EPI_ISL_175588,too short
EPI_ISL_175589,too short
EPI_ISL_175590,too short
EPI_ISL_175591,too short
EPI_ISL_175592,too short
EPI_ISL_175593,too short
EPI_ISL_176757,too short
EPI_ISL_176758,too short
EPI_ISL_176759,too short
EPI_ISL_176760,too short
EPI_ISL_177095,too short
EPI_ISL_177096,too short
EPI_ISL_177097,too short
EPI_ISL_177098,too short
EPI_ISL_177099,too short
EPI_ISL_177404,too short
EPI_ISL_177405,too short
EPI_ISL_177406,too short
EPI_ISL_177407,too short
EPI_ISL_177408,too short
EPI_ISL_177409,too short
EPI_ISL_177410,too short
EPI_ISL_177411,too short
EPI_ISL_177412,too short
EPI_ISL_177554,too short
EPI_ISL_191545,too short
EPI_ISL_191548,too short
EPI_ISL_191550,too short
EPI_ISL_191554,too short
EPI_ISL_191556,too short
EPI_ISL_191559,too short
EPI_ISL_191562,too short
EPI_ISL_191564,too short
EPI_ISL_191566,too short
EPI_ISL_191567,too short
EPI_ISL_191568,too short
EPI_ISL_191571,too short
EPI_ISL_191573,too short
EPI_ISL_191577,too short
EPI_ISL_191578,too short
EPI_ISL_191584,too short
EPI_ISL_191585,too short
