Isolate_Id,reason
EPI_ISL_232044,visual outlier
EPI_ISL_234469,visual outlier
EPI_ISL_366477,visual outlier
EPI_ISL_232046,visual outlier
EPI_ISL_177093,visual outlier
EPI_ISL_329972,visual outlier
EPI_ISL_177063,visual outlier
EPI_ISL_294294,visual outlier
EPI_ISL_294277,visual outlier
EPI_ISL_884294,visual outlier
EPI_ISL_372037,visual outlier
EPI_ISL_1307177,visual outlier
EPI_ISL_372053,visual outlier
EPI_ISL_294274,visual outlier
EPI_ISL_234474,visual outlier
EPI_ISL_294282,visual outlier
EPI_ISL_294291,visual outlier
EPI_ISL_294283,visual outlier
EPI_ISL_192102,visual outlier
EPI_ISL_186607,visual outlier
EPI_ISL_186606,visual outlier
EPI_ISL_200676,visual outlier
EPI_ISL_294273,visual outlier
EPI_ISL_234480,visual outlier
EPI_ISL_294286,visual outlier
EPI_ISL_277238,visual outlier
EPI_ISL_14493158,visual outlier
EPI_ISL_294280,visual outlier
EPI_ISL_294281,visual outlier
EPI_ISL_294289,visual outlier
EPI_ISL_294296,visual outlier
EPI_ISL_277242,visual outlier
EPI_ISL_341299,visual outlier
EPI_ISL_277237,visual outlier
EPI_ISL_192100,visual outlier
EPI_ISL_15490784,visual outlier
EPI_ISL_277236,visual outlier
EPI_ISL_294285,visual outlier
EPI_ISL_277234,visual outlier
EPI_ISL_393707,visual outlier
EPI_ISL_370633,visual outlier
EPI_ISL_171545,visual outlier
EPI_ISL_294287,visual outlier
EPI_ISL_294275,visual outlier
EPI_ISL_192075,visual outlier
EPI_ISL_186614,visual outlier
EPI_ISL_234477,visual outlier
EPI_ISL_277240,visual outlier
EPI_ISL_177078,visual outlier
EPI_ISL_186614,visual outlier
EPI_ISL_294271,visual outlier
EPI_ISL_234473,visual outlier
EPI_ISL_294288,visual outlier
EPI_ISL_329971,visual outlier
EPI_ISL_177070,visual outlier
EPI_ISL_296077,visual outlier
EPI_ISL_224036,visual outlier
EPI_ISL_224040,visual outlier
EPI_ISL_234470,visual outlier
EPI_ISL_372041,visual outlier
EPI_ISL_234481,visual outlier
EPI_ISL_294279,visual outlier
EPI_ISL_304787,visual outlier
EPI_ISL_292546,visual outlier
EPI_ISL_13148872,visual outlier
EPI_ISL_372017,visual outlier
EPI_ISL_234471,visual outlier
EPI_ISL_232048,visual outlier
EPI_ISL_232047,visual outlier
EPI_ISL_241846,visual outlier
EPI_ISL_373039,visual outlier
EPI_ISL_234476,visual outlier
EPI_ISL_186607,visual outlier
EPI_ISL_287017,visual outlier
EPI_ISL_287568,visual outlier
EPI_ISL_294272,visual outlier
EPI_ISL_294276,visual outlier
EPI_ISL_294284,visual outlier
EPI_ISL_177060,visual outlier
EPI_ISL_200678,visual outlier
EPI_ISL_205586,visual outlier
EPI_ISL_277241,visual outlier
EPI_ISL_232045,visual outlier
EPI_ISL_372051,visual outlier
EPI_ISL_234479,visual outlier
EPI_ISL_277235,visual outlier
EPI_ISL_277239,visual outlier
EPI_ISL_501166,visual outlier
EPI_ISL_387423,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_294278,visual outlier
EPI_ISL_206114,molecular clock outlier
EPI_ISL_206117,molecular clock outlier
EPI_ISL_205212,molecular clock outlier
EPI_ISL_194960,molecular clock outlier
EPI_ISL_199517,molecular clock outlier
EPI_ISL_206113,molecular clock outlier
EPI_ISL_197274,molecular clock outlier
EPI_ISL_205200,molecular clock outlier
EPI_ISL_224023,molecular clock outlier
EPI_ISL_195845,molecular clock outlier
EPI_ISL_206126,molecular clock outlier
EPI_ISL_205206,molecular clock outlier
EPI_ISL_206115,molecular clock outlier
EPI_ISL_206118,molecular clock outlier
EPI_ISL_199513,molecular clock outlier
EPI_ISL_205218,molecular clock outlier
EPI_ISL_394052,molecular clock outlier
EPI_ISL_268315,molecular clock outlier
EPI_ISL_272891,molecular clock outlier
EPI_ISL_272892,molecular clock outlier
EPI_ISL_272893,molecular clock outlier
EPI_ISL_255662,molecular clock outlier
EPI_ISL_268384,molecular clock outlier
EPI_ISL_272889,molecular clock outlier
EPI_ISL_272895,molecular clock outlier
EPI_ISL_275898,molecular clock outlier
EPI_ISL_240935,molecular clock outlier
EPI_ISL_232553,molecular clock outlier
EPI_ISL_232542,molecular clock outlier
