Isolate_Id,reason
EPI_ISL_281749,too short
EPI_ISL_281745,too short
EPI_ISL_281743,too short
EPI_ISL_281740,too short
EPI_ISL_281684,too short
EPI_ISL_281683,too short
EPI_ISL_279264,too short
EPI_ISL_279258,too short
EPI_ISL_294438,too many ambiguous nucleotides
EPI_ISL_302462,too short
EPI_ISL_307636,too short
EPI_ISL_307675,too short
EPI_ISL_309443,too short
EPI_ISL_309456,too short
EPI_ISL_313829,too short
EPI_ISL_330163,too short
EPI_ISL_335597,too short
EPI_ISL_350670,too short
EPI_ISL_350709,too many ambiguous nucleotides
EPI_ISL_350718,too short
EPI_ISL_350731,too short
EPI_ISL_345943,too many ambiguous nucleotides
EPI_ISL_356460,too short
EPI_ISL_356496,too short
EPI_ISL_356501,too short
EPI_ISL_356573,too many ambiguous nucleotides
EPI_ISL_356574,too many ambiguous nucleotides
EPI_ISL_356575,too short
EPI_ISL_356576,too short
EPI_ISL_356578,too many ambiguous nucleotides
EPI_ISL_356580,too many ambiguous nucleotides
EPI_ISL_356711,too short
EPI_ISL_357337,too short
EPI_ISL_357338,too short
EPI_ISL_366052,too short
EPI_ISL_379845,too short
EPI_ISL_379846,too short
EPI_ISL_379849,too short
EPI_ISL_379857,too short
EPI_ISL_379859,too many ambiguous nucleotides
EPI_ISL_379862,too short
EPI_ISL_379865,too short
EPI_ISL_379865,too short
EPI_ISL_381099,too short
EPI_ISL_381102,too many ambiguous nucleotides
EPI_ISL_381103,too short
EPI_ISL_381104,too many ambiguous nucleotides
EPI_ISL_381110,too many ambiguous nucleotides
EPI_ISL_390306,too short
EPI_ISL_395055,too short
EPI_ISL_395058,too short
EPI_ISL_395181,too short
EPI_ISL_396165,too many ambiguous nucleotides
EPI_ISL_396168,too many ambiguous nucleotides
EPI_ISL_396170,too many ambiguous nucleotides
EPI_ISL_399954,too short
EPI_ISL_399961,too short
EPI_ISL_395180,too short
EPI_ISL_505042,too short
EPI_ISL_507412,too many ambiguous nucleotides
EPI_ISL_507414,too many ambiguous nucleotides
EPI_ISL_1633472,too short
EPI_ISL_14923894,too many ambiguous nucleotides
EPI_ISL_14925112,too many ambiguous nucleotides
EPI_ISL_14925544,too many ambiguous nucleotides
EPI_ISL_14925545,too many ambiguous nucleotides
EPI_ISL_14925647,too many ambiguous nucleotides
EPI_ISL_14925688,too many ambiguous nucleotides
EPI_ISL_14925736,too many ambiguous nucleotides
EPI_ISL_15082418,too many ambiguous nucleotides
EPI_ISL_17011955,too short
EPI_ISL_3528,too short
EPI_ISL_3529,too short
EPI_ISL_3531,too short
EPI_ISL_3532,too short
EPI_ISL_12737,too short
EPI_ISL_12735,too short
EPI_ISL_12711,too short
EPI_ISL_12712,too short
EPI_ISL_12713,too short
EPI_ISL_12714,too short
EPI_ISL_12715,too short
EPI_ISL_12726,too short
EPI_ISL_12727,too short
EPI_ISL_12728,too short
EPI_ISL_12729,too short
EPI_ISL_12730,too short
EPI_ISL_65100,too short
EPI_ISL_65101,too short
EPI_ISL_65103,too short
EPI_ISL_65104,too short
EPI_ISL_65105,too short
EPI_ISL_87245,too short
EPI_ISL_89055,too many ambiguous nucleotides
EPI_ISL_89065,too short
EPI_ISL_89072,too short
EPI_ISL_89074,too many ambiguous nucleotides
EPI_ISL_89078,too short
EPI_ISL_89080,too many ambiguous nucleotides
EPI_ISL_89086,too many ambiguous nucleotides
EPI_ISL_89087,too many ambiguous nucleotides
EPI_ISL_89089,too many ambiguous nucleotides
EPI_ISL_89090,too many ambiguous nucleotides
EPI_ISL_89092,too many ambiguous nucleotides
EPI_ISL_96013,too short
EPI_ISL_106978,too short
EPI_ISL_106984,too short
EPI_ISL_106980,too short
EPI_ISL_106983,too short
EPI_ISL_106982,too short
EPI_ISL_106987,too short
EPI_ISL_106986,too short
EPI_ISL_106988,too short
EPI_ISL_106989,too short
EPI_ISL_106990,too short
EPI_ISL_106991,too short
EPI_ISL_106992,too short
EPI_ISL_106998,too short
EPI_ISL_107000,too short
EPI_ISL_106997,too short
EPI_ISL_106995,too short
EPI_ISL_106996,too short
EPI_ISL_106994,too short
EPI_ISL_108346,too short
EPI_ISL_128154,too short
EPI_ISL_128158,too short
EPI_ISL_129757,too short
EPI_ISL_132409,too many ambiguous nucleotides
EPI_ISL_166608,too short
EPI_ISL_166610,too short
EPI_ISL_166611,too short
EPI_ISL_166616,too short
EPI_ISL_166619,too short
EPI_ISL_166621,too short
EPI_ISL_166634,too short
EPI_ISL_166626,too short
EPI_ISL_166635,too short
EPI_ISL_166628,too short
EPI_ISL_166629,too short
EPI_ISL_188568,too many ambiguous nucleotides
EPI_ISL_192075,too short
EPI_ISL_202146,too short
EPI_ISL_202147,too short
EPI_ISL_202131,too short
EPI_ISL_202133,too short
EPI_ISL_202135,too short
EPI_ISL_202139,too short
EPI_ISL_202123,too short
EPI_ISL_202154,too short
EPI_ISL_202155,too short
EPI_ISL_202156,too short
EPI_ISL_202158,too short
EPI_ISL_219228,too short
EPI_ISL_235607,too short
EPI_ISL_235608,too many ambiguous nucleotides
EPI_ISL_235610,too short
EPI_ISL_235610,too short
EPI_ISL_253846,too many ambiguous nucleotides
EPI_ISL_263410,too many ambiguous nucleotides
EPI_ISL_269784,too many ambiguous nucleotides
EPI_ISL_269982,too many ambiguous nucleotides
EPI_ISL_274659,too many ambiguous nucleotides
EPI_ISL_275184,too many ambiguous nucleotides
EPI_ISL_274800,too many ambiguous nucleotides
EPI_ISL_274834,too many ambiguous nucleotides
EPI_ISL_285510,too many ambiguous nucleotides
EPI_ISL_285997,too many ambiguous nucleotides
EPI_ISL_286003,too many ambiguous nucleotides
EPI_ISL_286005,too many ambiguous nucleotides
EPI_ISL_286006,too many ambiguous nucleotides
EPI_ISL_286007,too many ambiguous nucleotides
EPI_ISL_286021,too many ambiguous nucleotides
EPI_ISL_286022,too many ambiguous nucleotides
EPI_ISL_286023,too many ambiguous nucleotides
EPI_ISL_286028,too many ambiguous nucleotides
EPI_ISL_286029,too short
EPI_ISL_286030,too many ambiguous nucleotides
EPI_ISL_286160,too many ambiguous nucleotides
EPI_ISL_286161,too many ambiguous nucleotides
EPI_ISL_286162,too many ambiguous nucleotides
EPI_ISL_286163,too many ambiguous nucleotides
EPI_ISL_286293,too many ambiguous nucleotides
EPI_ISL_286306,too many ambiguous nucleotides
EPI_ISL_286311,too many ambiguous nucleotides
EPI_ISL_286775,too many ambiguous nucleotides
EPI_ISL_286776,too many ambiguous nucleotides
EPI_ISL_286777,too many ambiguous nucleotides
EPI_ISL_286781,too many ambiguous nucleotides
EPI_ISL_286784,too many ambiguous nucleotides
EPI_ISL_286785,too many ambiguous nucleotides
EPI_ISL_286875,too many ambiguous nucleotides
EPI_ISL_286876,too many ambiguous nucleotides
EPI_ISL_286923,too many ambiguous nucleotides
EPI_ISL_286924,too many ambiguous nucleotides
EPI_ISL_286925,too many ambiguous nucleotides
EPI_ISL_286927,too many ambiguous nucleotides
EPI_ISL_286928,too many ambiguous nucleotides
EPI_ISL_286929,too many ambiguous nucleotides
EPI_ISL_286930,too many ambiguous nucleotides
EPI_ISL_286937,too many ambiguous nucleotides
EPI_ISL_286940,too many ambiguous nucleotides
EPI_ISL_286941,too many ambiguous nucleotides
EPI_ISL_286942,too many ambiguous nucleotides
EPI_ISL_286943,too many ambiguous nucleotides
EPI_ISL_286944,too many ambiguous nucleotides
EPI_ISL_286951,too many ambiguous nucleotides
EPI_ISL_286953,too many ambiguous nucleotides
EPI_ISL_286954,too many ambiguous nucleotides
EPI_ISL_286959,too many ambiguous nucleotides
EPI_ISL_286960,too many ambiguous nucleotides
EPI_ISL_286961,too many ambiguous nucleotides
EPI_ISL_286964,too many ambiguous nucleotides
EPI_ISL_286965,too many ambiguous nucleotides
EPI_ISL_286966,too many ambiguous nucleotides
EPI_ISL_286967,too many ambiguous nucleotides
EPI_ISL_286968,too many ambiguous nucleotides
EPI_ISL_286969,too many ambiguous nucleotides
EPI_ISL_286970,too many ambiguous nucleotides
EPI_ISL_286971,too many ambiguous nucleotides
EPI_ISL_286983,too many ambiguous nucleotides
EPI_ISL_286984,too many ambiguous nucleotides
EPI_ISL_286987,too many ambiguous nucleotides
EPI_ISL_286988,too many ambiguous nucleotides
EPI_ISL_286991,too many ambiguous nucleotides
EPI_ISL_286994,too many ambiguous nucleotides
EPI_ISL_286997,too many ambiguous nucleotides
EPI_ISL_286998,too many ambiguous nucleotides
EPI_ISL_286999,too many ambiguous nucleotides
EPI_ISL_287000,too many ambiguous nucleotides
EPI_ISL_287001,too many ambiguous nucleotides
EPI_ISL_287003,too many ambiguous nucleotides
EPI_ISL_287005,too many ambiguous nucleotides
EPI_ISL_287006,too many ambiguous nucleotides
EPI_ISL_287007,too many ambiguous nucleotides
EPI_ISL_287008,too many ambiguous nucleotides
EPI_ISL_287010,too many ambiguous nucleotides
EPI_ISL_287013,too many ambiguous nucleotides
EPI_ISL_287014,too many ambiguous nucleotides
EPI_ISL_287016,too many ambiguous nucleotides
EPI_ISL_287192,too many ambiguous nucleotides
EPI_ISL_331650,too many ambiguous nucleotides
EPI_ISL_331672,too many ambiguous nucleotides
EPI_ISL_331697,too many ambiguous nucleotides
EPI_ISL_331702,too many ambiguous nucleotides
EPI_ISL_331705,too many ambiguous nucleotides
EPI_ISL_331729,too many ambiguous nucleotides
EPI_ISL_331747,too many ambiguous nucleotides
EPI_ISL_331749,too many ambiguous nucleotides
EPI_ISL_331765,too many ambiguous nucleotides
EPI_ISL_258428,too short
EPI_ISL_357002,too short
EPI_ISL_357046,too short
EPI_ISL_357007,too short
EPI_ISL_368536,too short
EPI_ISL_369506,too short
EPI_ISL_370256,too many ambiguous nucleotides
EPI_ISL_370277,too short
EPI_ISL_385673,too many ambiguous nucleotides
EPI_ISL_385731,too short
EPI_ISL_385752,too short
EPI_ISL_385784,too short
EPI_ISL_385888,too short
EPI_ISL_385993,too short
EPI_ISL_386040,too short
EPI_ISL_386084,too short
EPI_ISL_386089,too short
EPI_ISL_386181,too short
EPI_ISL_388491,too short
EPI_ISL_388499,too short
EPI_ISL_388514,too short
EPI_ISL_388530,too many ambiguous nucleotides
EPI_ISL_507403,too many ambiguous nucleotides
EPI_ISL_4062160,too short
EPI_ISL_4062168,too short
EPI_ISL_4062279,too short
EPI_ISL_5054283,too short
EPI_ISL_15082330,too many ambiguous nucleotides
EPI_ISL_171537,too many ambiguous nucleotides
EPI_ISL_240707,too many ambiguous nucleotides
EPI_ISL_240707,too many ambiguous nucleotides
EPI_ISL_15082356,too many ambiguous nucleotides
EPI_ISL_15082356,too many ambiguous nucleotides
EPI_ISL_241982,too many ambiguous nucleotides
EPI_ISL_241982,too many ambiguous nucleotides
EPI_ISL_15082366,too many ambiguous nucleotides
EPI_ISL_15082366,too many ambiguous nucleotides
EPI_ISL_244999,too many ambiguous nucleotides
EPI_ISL_244999,too many ambiguous nucleotides
EPI_ISL_309325,too many ambiguous nucleotides
EPI_ISL_309325,too many ambiguous nucleotides
EPI_ISL_250284,too many ambiguous nucleotides
EPI_ISL_250284,too many ambiguous nucleotides
EPI_ISL_15082404,too many ambiguous nucleotides
EPI_ISL_15082404,too many ambiguous nucleotides
EPI_ISL_153544,too many ambiguous nucleotides
EPI_ISL_15088388,too many ambiguous nucleotides
