Isolate_Id,reason
EPI_ISL_30514,too short
EPI_ISL_32629,too short
EPI_ISL_61405,too many ambiguous nucleotides
EPI_ISL_61415,too many ambiguous nucleotides
EPI_ISL_61437,too short
EPI_ISL_61441,too short
EPI_ISL_61446,too many ambiguous nucleotides
EPI_ISL_62603,too short
EPI_ISL_77237,too short
EPI_ISL_83317,too short
EPI_ISL_83318,too short
EPI_ISL_83319,too short
EPI_ISL_83321,too short
EPI_ISL_83322,too short
EPI_ISL_83323,too short
EPI_ISL_83324,too short
EPI_ISL_83325,too short
EPI_ISL_83326,too short
EPI_ISL_83327,too short
EPI_ISL_83328,too short
EPI_ISL_83329,too short
EPI_ISL_83330,too short
EPI_ISL_83331,too short
EPI_ISL_84788,too short
EPI_ISL_84789,too short
EPI_ISL_84790,too short
EPI_ISL_84791,too short
EPI_ISL_84792,too short
EPI_ISL_84793,too short
EPI_ISL_84794,too short
EPI_ISL_84795,too short
EPI_ISL_84796,too short
EPI_ISL_84797,too short
EPI_ISL_84798,too short
EPI_ISL_84799,too short
EPI_ISL_84800,too short
EPI_ISL_84801,too short
EPI_ISL_84802,too short
EPI_ISL_84804,too short
EPI_ISL_84805,too short
EPI_ISL_84806,too short
EPI_ISL_84807,too short
EPI_ISL_84808,too short
EPI_ISL_84809,too short
EPI_ISL_84810,too short
EPI_ISL_84811,too short
EPI_ISL_84812,too short
EPI_ISL_84813,too short
EPI_ISL_84814,too short
EPI_ISL_84815,too short
EPI_ISL_150617,too short
EPI_ISL_237520,too short
EPI_ISL_237521,too short
EPI_ISL_237522,too short
EPI_ISL_237523,too short
EPI_ISL_237525,too short
EPI_ISL_237526,too short
EPI_ISL_237527,too short
EPI_ISL_237528,too short
EPI_ISL_237529,too short
EPI_ISL_237530,too short
EPI_ISL_237531,too short
EPI_ISL_237532,too short
EPI_ISL_237533,too short
EPI_ISL_237534,too short
EPI_ISL_237535,too short
EPI_ISL_237536,too short
EPI_ISL_237537,too short
EPI_ISL_237538,too short
EPI_ISL_237539,too short
EPI_ISL_237540,too short
EPI_ISL_269775,too short
EPI_ISL_269776,too short
EPI_ISL_269777,too many ambiguous nucleotides
EPI_ISL_269780,too many ambiguous nucleotides
EPI_ISL_269907,too many ambiguous nucleotides
EPI_ISL_269911,too short
EPI_ISL_269913,too short
EPI_ISL_269914,too short
EPI_ISL_269919,too many ambiguous nucleotides
EPI_ISL_269972,too short
EPI_ISL_269974,too short
EPI_ISL_270025,too short
EPI_ISL_270048,too many ambiguous nucleotides
EPI_ISL_270215,too many ambiguous nucleotides
EPI_ISL_270220,too short
EPI_ISL_274267,too many ambiguous nucleotides
EPI_ISL_284193,too short
EPI_ISL_284194,too short
EPI_ISL_302460,too short
EPI_ISL_305479,too many ambiguous nucleotides
EPI_ISL_305480,too many ambiguous nucleotides
EPI_ISL_305956,too short
EPI_ISL_331243,too short
EPI_ISL_331247,too short
EPI_ISL_331247,too short
EPI_ISL_308134,too short
EPI_ISL_307917,too short
EPI_ISL_307945,too short
EPI_ISL_307949,too short
EPI_ISL_331353,too short
EPI_ISL_331384,too short
EPI_ISL_331386,too short
EPI_ISL_331391,too short
EPI_ISL_332095,too short
EPI_ISL_332132,too short
EPI_ISL_332353,too short
EPI_ISL_332355,too short
EPI_ISL_332686,too short
EPI_ISL_332691,too short
EPI_ISL_332692,too short
EPI_ISL_332693,too short
EPI_ISL_332694,too short
EPI_ISL_333205,too short
EPI_ISL_333206,too short
EPI_ISL_333207,too short
EPI_ISL_333208,too short
EPI_ISL_333234,too short
EPI_ISL_333274,too short
EPI_ISL_333275,too short
EPI_ISL_333276,too short
EPI_ISL_333339,too short
EPI_ISL_333355,too short
EPI_ISL_333365,too short
EPI_ISL_332722,too many ambiguous nucleotides
EPI_ISL_333640,too short
EPI_ISL_334054,too short
EPI_ISL_334056,too short
EPI_ISL_334060,too short
EPI_ISL_334063,too short
EPI_ISL_334234,too short
EPI_ISL_334412,too short
EPI_ISL_336013,too short
EPI_ISL_340370,too short
EPI_ISL_365605,too short
EPI_ISL_365609,too short
EPI_ISL_365612,too short
EPI_ISL_365614,too short
EPI_ISL_365615,too short
EPI_ISL_365635,too short
EPI_ISL_400683,too many ambiguous nucleotides
EPI_ISL_15082224,too many ambiguous nucleotides
EPI_ISL_15082225,too many ambiguous nucleotides
EPI_ISL_15082227,too many ambiguous nucleotides
EPI_ISL_15082229,too many ambiguous nucleotides
EPI_ISL_155605,too many ambiguous nucleotides
EPI_ISL_15082230,too many ambiguous nucleotides
EPI_ISL_15082336,too many ambiguous nucleotides
EPI_ISL_171598,too many ambiguous nucleotides
EPI_ISL_238315,too many ambiguous nucleotides
EPI_ISL_238315,too many ambiguous nucleotides
EPI_ISL_15082350,too many ambiguous nucleotides
EPI_ISL_15082350,too many ambiguous nucleotides
EPI_ISL_15082352,too many ambiguous nucleotides
EPI_ISL_15082352,too many ambiguous nucleotides
EPI_ISL_291106,too many ambiguous nucleotides
EPI_ISL_291106,too many ambiguous nucleotides
EPI_ISL_291107,too many ambiguous nucleotides
EPI_ISL_291107,too many ambiguous nucleotides
EPI_ISL_15082408,too many ambiguous nucleotides
EPI_ISL_15082408,too many ambiguous nucleotides
EPI_ISL_15082416,too many ambiguous nucleotides
EPI_ISL_15082416,too many ambiguous nucleotides
EPI_ISL_15082419,too many ambiguous nucleotides
EPI_ISL_15082419,too many ambiguous nucleotides
EPI_ISL_15082423,too many ambiguous nucleotides
EPI_ISL_15082423,too many ambiguous nucleotides
EPI_ISL_15082424,too many ambiguous nucleotides
