Isolate_Id,reason
EPI_ISL_299722,too short
EPI_ISL_301195,too short
EPI_ISL_291943,too short
EPI_ISL_298723,too short
EPI_ISL_298722,too short
EPI_ISL_298703,too short
EPI_ISL_295780,too short
EPI_ISL_295779,too short
EPI_ISL_299594,too short
EPI_ISL_304522,too short
EPI_ISL_304521,too short
EPI_ISL_304520,too short
EPI_ISL_304519,too short
EPI_ISL_304518,too short
EPI_ISL_304517,too short
EPI_ISL_304516,too short
EPI_ISL_304514,too short
EPI_ISL_304513,too short
EPI_ISL_301617,too short
EPI_ISL_301615,too short
EPI_ISL_300525,too short
EPI_ISL_300524,too short
EPI_ISL_300523,too short
EPI_ISL_297940,too short
EPI_ISL_295030,too short
EPI_ISL_295061,too short
EPI_ISL_293308,too short
EPI_ISL_298715,too short
EPI_ISL_298714,too short
EPI_ISL_298713,too short
EPI_ISL_298712,too short
EPI_ISL_298692,too short
EPI_ISL_298739,too short
EPI_ISL_303615,too short
EPI_ISL_294360,too short
EPI_ISL_306013,too short
EPI_ISL_304538,too short
EPI_ISL_304536,too short
EPI_ISL_304533,too short
EPI_ISL_304532,too short
EPI_ISL_306005,too short
EPI_ISL_306004,too short
EPI_ISL_306003,too short
EPI_ISL_304528,too short
EPI_ISL_304527,too short
EPI_ISL_294352,too short
EPI_ISL_303573,too short
EPI_ISL_294347,too short
EPI_ISL_294338,too short
EPI_ISL_305993,too short
EPI_ISL_305988,too short
EPI_ISL_298731,too short
EPI_ISL_298694,too short
EPI_ISL_304699,too short
EPI_ISL_304698,too short
EPI_ISL_304697,too short
EPI_ISL_304696,too short
EPI_ISL_304665,too short
EPI_ISL_304436,too short
EPI_ISL_304435,too short
EPI_ISL_304434,too short
EPI_ISL_304431,too short
EPI_ISL_304430,too short
EPI_ISL_304428,too short
EPI_ISL_304427,too short
EPI_ISL_304423,too short
EPI_ISL_304422,too short
EPI_ISL_304421,too many ambiguous nucleotides
EPI_ISL_304420,too short
EPI_ISL_304419,too short
EPI_ISL_304418,too short
EPI_ISL_304417,too short
EPI_ISL_304416,too short
